iter	Passed	Remaining
1145	14404	10734
1146	14415	10720
1147	14422	10704
1148	14438	10693
1149	14452	10681
1150	14463	10668
1151	14477	10657
1152	14483	10639
1153	14492	10624
1154	14507	10613
1155	14516	10598
1156	14525	10583
1157	14538	10571
1158	14551	10559
1159	14565	10547
1160	14577	10534
1161	14592	10523
1162	14605	10511
1163	14618	10499
1164	14633	10488
1165	14646	10476
1166	14662	10465
1167	14669	10449
1168	14682	10437
1169	14697	10426
1170	14713	10416
1171	14729	10405
1172	14740	10392
1173	14744	10374
1174	14752	10358
1175	14800	10370
1176	14802	10350
1177	14818	10340
1178	14829	10326
1179	14838	10311
1180	14848	10297
1181	14863	10286
1182	14876	10273
1183	14881	10256
1184	14896	10245
1185	14909	10233
1186	14923	10221
1187	14936	10209
1188	14944	10193
1189	14957	10181
1190	14970	10168
1191	14984	10157
1192	14995	10143
1193	15006	10130
1194	15020	10118
1195	15033	10105
1196	15047	10094
1197	15060	10082
1198	15075	10071
1199	15088	10059
1200	15106	10049
1201	15117	10036
1202	15129	10023
1203	15148	10015
1204	15155	9998
1205	15167	9985
1206	15184	9976
1207	15186	9956
1208	15202	9946
1209	15218	9935
1210	15233	9925
1211	15247	9913
1212	15263	9903
1213	15278	9891
1214	15295	9882
1215	15308	9869
1216	15318	9855
1217	15333	9844
1218	15348	9833
1219	15365	9824
1220	15375	9809
1221	15391	9798
1222	15401	9784
1223	15412	9771
1224	15424	9758
1225	15435	9744
1226	15436	9724
1227	15437	9704
1228	15448	9691
1229	15457	9676
1230	15473	9665
1231	15480	9650
1232	15482	9630
1233	15491	9616
1234	15504	9604
1235	15516	9591
1236	15585	9613
1237	15600	9602
1238	15625	9597
1239	15646	9589
1240	15674	9586
1241	15695	9578
1242	15702	9562
1243	15716	9551
1244	15718	9531
1245	15729	9518
1246	15745	9507
1247	15753	9492
1248	15767	9480
1249	15779	9467
1250	15792	9455
1251	15800	9440
1252	15814	9427
1253	15827	9415
1254	15831	9397
1255	15846	9387
1256	15856	9372
1257	15867	9358
1258	15953	9389
1259	15975	9382
1260	15990	9371
1261	15995	9353
1262	16010	9342
1263	16024	9330
1264	16035	9317
1265	16044	9302
1266	16053	9287
1267	16062	9272
1268	16072	9258
1269	16083	9245
1270	16087	9226
1271	16100	9214
1272	16116	9204
1273	16126	9189
1274	16140	9178
1275	16155	9166
1276	16163	9151
1277	16177	9139
1278	16189	9126
1279	16204	9114
1280	16219	9103
1281	16220	9084
1282	16234	9072
1283	16249	9061
1284	16256	9045
1285	16263	9029
1286	16274	9015
1287	16284	9002
1288	16297	8989
1289	16311	8977
1290	16324	8965
1291	16337	8952
1292	16354	8942
1293	16368	8930
1294	16381	8918
1295	16395	8905
1296	16410	8894
1297	16423	8882
1298	16430	8866
1299	16442	8853
1300	16457	8842
1301	16470	8829
1302	16482	8816
1303	16495	8804
1304	16499	8787
1305	16511	8773
1306	16522	8760
1307	16535	8748
1308	16547	8735
1309	16561	8723
1310	16576	8711
1311	16587	8698
1312	16600	8685
1313	16611	8672
1314	16624	8659
1315	16632	8644
1316	16646	8633
1317	16656	8618
1318	16665	8604
1319	16680	8592
1320	16687	8577
1321	16701	8565
1322	16716	8554
1323	16725	8539
1324	16733	8524
1325	16742	8510
1326	16754	8497
1327	16766	8484
1328	16775	8469
1329	16790	8458
1330	16799	8444
1331	16815	8432
1332	16828	8420
1333	16831	8403
1334	16844	8390
1335	16854	8376
1336	16895	8378
1337	16912	8367
1338	16928	8356
1339	16939	8343
1340	16949	8329
1341	16950	8310
1342	16961	8297
1343	16974	8285
1344	16990	8274
1345	16991	8255
1346	17003	8243
1347	17019	8231
1348	17035	8220
1349	17050	8209
1350	17062	8196
1351	17080	8186
1352	17096	8175
1353	17105	8161
1354	17120	8149
1355	17133	8137
1356	17147	8124
1357	17156	8110
1358	17168	8097
1359	17181	8085
1360	17194	8073
1361	17195	8054
1362	17209	8042
1363	17216	8027
1364	17227	8014
1365	17236	7999
1366	17249	7987
1367	17259	7973
1368	17274	7962
1369	17281	7946
1370	17293	7933
1371	17300	7918
1372	17316	7907
1373	17331	7896
1374	17344	7883
1375	17360	7872
1376	17370	7859
1377	17383	7846
1378	17393	7832
1379	17395	7815
1380	17410	7803
1381	17419	7789
1382	17431	7776
1383	17443	7763
1384	17454	7750
1385	17467	7738
1386	17477	7724
1387	17492	7712
1388	17505	7700
1389	17520	7688
1390	17528	7674
1391	17541	7661
1392	17555	7649
1393	17569	7637
1394	17578	7623
1395	17586	7609
1396	17591	7593
1397	17603	7580
1398	17618	7568
1399	17629	7555
1400	17640	7542
1401	17652	7529
1402	17665	7516
1403	17680	7505
1404	17687	7490
1405	17702	7478
1406	17715	7466
1407	17730	7455
1408	17738	7440
1409	17751	7427
1410	17791	7426
1411	17801	7413
1412	17817	7401
1413	17830	7389
1414	17841	7376
1415	17857	7364
1416	17869	7352
1417	17882	7339
1418	17893	7326
1419	17904	7312
1420	17919	7301
1421	17932	7288
1422	17945	7276
1423	17959	7264
1424	17972	7251
1425	17987	7240
1426	18002	7228
1427	18016	7216
1428	18026	7202
1429	18037	7189
1430	18051	7177
1431	18066	7166
1432	18076	7152
1433	18091	7140
1434	18104	7128
1435	18117	7115
1436	18130	7103
1437	18142	7090
1438	18156	7078
1439	18169	7065
1440	18186	7054
1441	18198	7042
1442	18213	7030
1443	18228	7018
1444	18242	7006
1445	18253	6993
1446	18264	6980
1447	18280	6968
1448	18295	6956
1449	18306	6943
1450	18315	6929
1451	18328	6917
1452	18344	6906
1453	18360	6894
1454	18375	6882
1455	18388	6870
1456	18402	6858
1457	18411	6844
1458	18422	6831
1459	18435	6818
1460	18448	6806
1461	18456	6791
1462	18469	6779
1463	18476	6764
1464	18491	6752
1465	18504	6740
1466	18510	6725
1467	18520	6711
1468	18532	6698
1469	18545	6686
1470	18556	6673
1471	18568	6660
1472	18580	6647
1473	18589	6633
1474	18603	6621
1475	18617	6609
1476	18626	6595
1477	18637	6582
1478	18650	6569
1479	18664	6557
1480	18762	6575
1481	18776	6562
1482	18784	6548
1483	18795	6535
1484	18808	6522
1485	18816	6508
1486	18828	6495
1487	18841	6483
1488	18854	6470
1489	18863	6456
1490	18876	6444
1491	18890	6432
1492	18904	6419
1493	18909	6404
1494	18925	6392
1495	18943	6382
1496	18955	6369
1497	18962	6354
1498	18975	6342
1499	18989	6329
1500	19007	6318
1501	19022	6307
1502	19036	6294
1503	19044	6280
1504	19057	6268
1505	19069	6255
1506	19082	6242
1507	19093	6229
1508	19104	6216
1509	19117	6203
1510	19124	6189
1511	19137	6176
1512	19154	6165
1513	19172	6154
1514	19189	6143
1515	19204	6131
1516	19217	6118
1517	19219	6102
1518	19231	6089
1519	19246	6077
1520	19257	6064
1521	19267	6051
1522	19282	6039
1523	19296	6027
1524	19313	6015
1525	19328	6003
1526	19337	5990
1527	19351	5977
1528	19363	5964
1529	19372	5951
1530	19379	5936
1531	19380	5920
1532	19382	5904
1533	19394	5891
1534	19405	5878
1535	19415	5865
1536	19426	5852
1537	19440	5839
1538	19453	5827
1539	19467	5815
1540	19483	5803
1541	19494	5790
1542	19506	5777
1543	19553	5774
1544	19571	5763
1545	19583	5750
1546	19594	5737
1547	19603	5724
1548	19617	5711
